C3;TotalEdgeLength;EdgeMean;EdgeRatio;EdgeStdDev;
0,8199995;43,559269785881;2,292593;3,520117;0,7451867;
0,8199995;43,5509402751923;2,292155;3,524388;0,7472542;
0,8199995;43,5583264827728;2,292543;3,519226;0,7451435;
0,8199995;43,5583264827728;2,292543;3,519226;0,7451435;
0,8299995;43,7163054943085;2,300858;3,537635;0,7505183;
0,8299995;43,7135226726532;2,300712;3,536364;0,7506488;
0,8299995;43,7135226726532;2,300712;3,536364;0,7506488;
0,8299995;43,7163854837418;2,300862;3,537469;0,7504743;
0,8299995;43,7157526016235;2,300829;3,536995;0,7504696;
0,8399995;43,8705945014954;2,308979;3,553492;0,7557827;
0,8399995;43,8724035024643;2,309074;3,554525;0,7557102;
0,8399995;43,8725576400757;2,309082;3,554916;0,7557635;
0,8399995;43,8725934028625;2,309084;3,554873;0,7557496;
0,8399995;43,872478723526;2,309078;3,554902;0,7557729;
0,8499995;44,0274692773819;2,317235;3,571423;0,760904;
0,8499995;44,0277969837189;2,317252;3,572046;0,7609726;
0,8499995;44,0276203155518;2,317243;3,57168;0,7609272;
0,8499995;44,0276750326157;2,317246;3,572009;0,7609832;
0,8499995;44,0278114080429;2,317253;3,572043;0,7609689;
0,8599995;44,1820319890976;2,32537;3,589019;0,766146;
0,8599995;44,1798703670502;2,325256;3,587432;0,7661727;
0,8599995;44,1815813779831;2,325346;3,588237;0,7660648;
0,8599995;44,1819293498993;2,325365;3,589024;0,7661621;
0,8599995;44,1819427013397;2,325365;3,589014;0,7661589;
0,8699995;44,3346910476685;2,333405;3,605297;0,7712659;
0,8699995;44,3352072238922;2,333432;3,605856;0,7712986;
0,8699995;44,3350850343704;2,333425;3,605675;0,7712798;
0,8699995;44,3294578790665;2,333129;3,609767;0,772962;
0,8699995;44,334832906723;2,333412;3,605365;0,7712593;
0,8799995;44,4873762130737;2,341441;3,622517;0,776416;
0,8799995;44,4785888195038;2,340979;3,624977;0,7782841;
0,8799995;44,481776714325;2,341146;3,626018;0,7779882;
0,8799995;44,4871498346329;2,341429;3,621823;0,7763174;
0,8799995;44,4869501590729;2,341419;3,621716;0,7763287;
0,8899994;44,6387716531754;2,349409;3,638872;0,7814405;
0,8899994;44,6387830972672;2,34941;3,638771;0,7814206;
0,8899994;44,6387741565704;2,349409;3,639027;0,7814698;
0,8899994;44,6383241415024;2,349385;3,638176;0,781377;
0,8899994;44,6387850046158;2,34941;3,638961;0,7814553;
0,8999994;44,7892875671387;2,357331;3,655246;0,786451;
0,8999994;44,7892292737961;2,357328;3,655377;0,7864858;
0,8999994;44,7889981269836;2,357316;3,655039;0,7864566;
0,8999994;44,7812167406082;2,356906;3,658243;0,7883607;
0,8999994;44,7892957925797;2,357331;3,65543;0,7864866;
0,9099994;44,9386718273163;2,365193;3,671662;0,7914992;
0,9099994;44,938713312149;2,365196;3,671656;0,7914914;
0,9099994;44,9382693767548;2,365172;3,670914;0,7914158;
0,9099994;44,9358617067337;2,365045;3,669669;0,7916539;
